
[2026-01-14 17:24:08.722]# Decice is pulled out!
[2026-01-14 17:24:10.564]# Device inserted, reconnecting...
[2026-01-14 17:24:13.574]# Decice opened!# PHASE_ALIGNED,ms=5114,segIdx=0,pos=-800
11934,0,9,1,5,1.000,3333,3333,3409,3411,6820,1.001,480.0,0
# AMP_UPDATE,ms=15287,amp_mm=6
18491,0,9,2,6,1.000,3333,3333,3410,3147,6557,0.923,576.1,0
25339,0,9,3,6,1.000,3333,3333,3424,3424,6848,1.000,576.1,0
# AMP_UPDATE,ms=27287,amp_mm=7
31966,0,9,4,7,1.000,3333,3333,3425,3202,6627,0.935,672.1,0
38848,0,9,5,7,1.000,3333,3333,3441,3441,6882,1.000,672.1,0
# AMP_UPDATE,ms=39287,amp_mm=8
45547,0,9,6,8,1.000,3333,3333,3442,3257,6699,0.946,768.1,0
# AMP_UPDATE,ms=51287,amp_mm=9
52478,0,9,7,9,1.000,3333,3333,3465,3466,6931,1.000,768.1,0
59270,0,9,8,9,1.000,3333,3333,3302,3490,6792,1.057,864.1,0
# AMP_UPDATE,ms=63287,amp_mm=10
66246,0,9,9,10,1.000,3333,3333,3486,3490,6976,1.001,864.1,0
73133,0,9,10,10,1.500,2667,4000,2746,4141,6887,1.508,800.0,0
# AMP_UPDATE,ms=75287,amp_mm=9
80350,0,9,11,9,1.500,2667,4000,2880,4337,7217,1.506,720.0,0
# AMP_UPDATE,ms=87287,amp_mm=8
87317,0,9,12,8,1.500,2667,4000,2853,4114,6967,1.442,720.0,0
94419,0,9,13,8,1.500,2667,4000,2994,4108,7102,1.372,640.0,0
# AMP_UPDATE,ms=99287,amp_mm=7
101354,0,9,14,7,1.500,2667,4000,2828,4107,6935,1.452,640.0,0
108446,0,9,15,7,1.500,2667,4000,2997,4095,7092,1.366,560.0,0
# AMP_UPDATE,ms=111287,amp_mm=6
115349,0,9,16,6,1.500,2667,4000,2807,4096,6903,1.459,560.0,0
122439,0,9,17,6,1.500,2667,4000,3012,4078,7090,1.354,480.0,0
# AMP_UPDATE,ms=123287,amp_mm=5
129689,0,9,18,5,1.500,2667,4000,2789,4461,7250,1.599,400.0,0
# SEGMENT_END,ms=129689,segIdx=0,timeUp=1
# SEGMENT_START,ms=129693,segIdx=1,bpm=12,duration_s=60,pauseEvent=1,pauseAfterBreaths=6,init_exhaleRatio=1.500,Tin_ms=2000,Tex_ms=3000
# PHASE_ALIGNED,ms=129886,segIdx=1,pos=-800
135093,1,12,1,5,1.500,2000,3000,2121,3086,5207,1.455,533.3,0
140311,1,12,2,5,1.500,2000,3000,2133,3085,5218,1.446,533.3,0
# AMP_UPDATE,ms=141693,amp_mm=6
145299,1,12,3,6,1.500,2000,3000,2133,2855,4988,1.338,640.0,0
150558,1,12,4,6,1.500,2000,3000,2154,3105,5259,1.442,640.0,0
# AMP_UPDATE,ms=153693,amp_mm=7
155819,1,12,5,7,1.500,2000,3000,2156,3105,5261,1.440,640.0,0
160986,1,12,6,7,1.500,2000,3000,2041,3126,5167,1.532,746.7,0
# APNEA_ENTER,ms=160986,segIdx=1,bpm=12,afterBreath=6,hold_ms=10000
# APNEA_EXIT,ms=170986,segIdx=1,bpm=12
# AMP_UPDATE,ms=170987,amp_mm=8
176117,1,12,7,8,1.500,2000,3000,12173,2958,15131,0.243,853.3,0
181482,1,12,8,8,1.500,2000,3000,2219,3146,5365,1.418,853.3,0
# AMP_UPDATE,ms=182987,amp_mm=9
186694,1,12,9,9,1.500,2000,3000,2219,2993,5212,1.349,960.0,0
192098,1,12,10,9,1.500,2000,3000,2244,3160,5404,1.408,960.0,0
# SEGMENT_END,ms=192098,segIdx=1,timeUp=1
# SEGMENT_START,ms=192102,segIdx=2,bpm=16,duration_s=60,pauseEvent=0,pauseAfterBreaths=0,init_exhaleRatio=1.300,Tin_ms=1630,Tex_ms=2120
# PHASE_ALIGNED,ms=192293,segIdx=2,pos=-1440
196558,2,16,1,9,1.300,1630,2120,1920,2345,4265,1.221,1358.5,0
200834,2,16,2,9,1.300,1630,2120,1931,2345,4276,1.214,1358.5,0
# AMP_UPDATE,ms=204102,amp_mm=10
205109,2,16,3,10,1.300,1630,2120,1929,2346,4275,1.216,1358.5,0
209369,2,16,4,10,1.300,1630,2120,1881,2379,4260,1.265,1509.4,0
213711,2,16,5,10,1.300,1630,2120,1965,2377,4342,1.210,1509.4,0
# AMP_UPDATE,ms=216102,amp_mm=9
218054,2,16,6,9,1.300,1630,2120,1965,2378,4343,1.210,1509.4,0
222422,2,16,7,9,1.300,1630,2120,2022,2346,4368,1.160,1358.5,0
226697,2,16,8,9,1.300,1630,2120,1930,2345,4275,1.215,1358.5,0
# AMP_UPDATE,ms=228102,amp_mm=8
231077,2,16,9,8,1.300,1630,2120,1930,2450,4380,1.269,1207.5,0
235283,2,16,10,8,1.300,1630,2120,1888,2318,4206,1.228,1207.5,0
239488,2,16,11,8,1.300,1630,2120,1887,2318,4205,1.228,1207.5,0
# AMP_UPDATE,ms=240102,amp_mm=7
243820,2,16,12,7,1.300,1630,2120,1888,2444,4332,1.294,1056.6,0
247969,2,16,13,7,1.300,1630,2120,1857,2292,4149,1.234,1056.6,0
# AMP_UPDATE,ms=252102,amp_mm=6
252119,2,16,14,6,1.300,1630,2120,1857,2293,4150,1.235,1056.6,0
# SEGMENT_END,ms=252119,segIdx=2,timeUp=1
# SEGMENT_START,ms=252123,segIdx=3,bpm=18,duration_s=60,pauseEvent=1,pauseAfterBreaths=9,init_exhaleRatio=1.200,Tin_ms=1515,Tex_ms=1818
# PHASE_ALIGNED,ms=252696,segIdx=3,pos=-960
256409,3,18,1,6,1.200,1515,1818,1726,1987,3713,1.151,1056.1,0
260122,3,18,2,6,1.200,1515,1818,1725,1988,3713,1.152,1056.1,0
263834,3,18,3,6,1.200,1515,1818,1725,1987,3712,1.152,1056.1,0
# AMP_UPDATE,ms=264123,amp_mm=5
267703,3,18,4,5,1.200,1515,1818,1726,2143,3869,1.242,880.1,0
271347,3,18,5,5,1.200,1515,1818,1683,1961,3644,1.165,880.1,0
274992,3,18,6,5,1.200,1515,1818,1684,1961,3645,1.164,880.1,0
# AMP_UPDATE,ms=276123,amp_mm=6
278511,3,18,7,6,1.200,1515,1818,1683,1836,3519,1.091,1056.1,0
282223,3,18,8,6,1.200,1515,1818,1725,1987,3712,1.152,1056.1,0
285936,3,18,9,6,1.200,1515,1818,1726,1987,3713,1.151,1056.1,0
# APNEA_ENTER,ms=285936,segIdx=3,bpm=18,afterBreath=9,hold_ms=10000
# APNEA_EXIT,ms=295936,segIdx=3,bpm=18
# AMP_UPDATE,ms=295937,amp_mm=7
299540,3,18,10,7,1.200,1515,1818,11713,1891,13604,0.161,1232.1,0
303323,3,18,11,7,1.200,1515,1818,1760,2023,3783,1.149,1232.1,0
307105,3,18,12,7,1.200,1515,1818,1760,2022,3782,1.149,1232.1,0
# AMP_UPDATE,ms=307937,amp_mm=8
310809,3,18,13,8,1.200,1515,1818,1761,1943,3704,1.103,1408.1,0
314663,3,18,14,8,1.200,1515,1818,1797,2057,3854,1.145,1408.1,0
# SEGMENT_END,ms=314663,segIdx=3,timeUp=1
# DONE,ms=314663
